,Gender,Age,Annual Income (k),Spending Score (1-100),Email,label
33,1,19.0,400.0,50.0,elyssa.crooks@gmail.com,4
66,1,19.0,555.0,46.0,josephine73@hotmail.com,4
141,1,19.0,777.0,97.0,anastasia52@treutel.com,4
345,1,69.0,450.0,46.0,nvon@hotmail.com,4
365,1,40.0,456.0,48.0,waltenwerth@gmail.com,4
374,1,19.0,678.0,58.0,hthiel@gmail.com,4
395,1,56.0,670.0,46.0,johnpaul64@gmail.com,4
443,1,32.0,666.0,63.0,runolfsdottir.quinn@huel.info,4
493,1,27.0,678.0,47.0,lehner.lucienne@stokes.com,4
526,1,57.0,345.0,51.0,adrian55@kemmer.biz,4
547,1,49.0,333.0,48.0,elta10@yahoo.com,4
556,1,65.0,345.0,52.0,syble86@hotmail.com,4
579,1,32.0,333.0,73.0,dkub@olson.com,4
602,1,28.0,450.0,75.0,jhuels@auer.biz,4
640,1,20.0,456.0,75.0,ayana.parker@schroeder.com,4
661,1,70.0,500.0,56.0,anna82@adams.biz,4
733,1,29.0,500.0,88.0,aufderhar.ramiro@yahoo.com,4
761,1,35.0,345.0,90.0,chad10@schmitt.com,4
776,1,59.0,450.0,83.0,theron.moore@boyer.com,4
785,1,68.0,460.0,48.0,leopold5@hotmail.com,4
807,1,50.0,555.0,46.0,raoul.lueilwitz@yahoo.com,4
810,1,48.0,345.0,49.0,tillman_gleason43@yahoo.com,4
816,1,48.0,610.0,42.0,damaris_ullrich@gmail.com,4
834,1,32.0,678.0,43.0,norris.mccullough@yahoo.com,4
885,1,20.0,456.0,75.0,elian_hagenes@gmail.com,4
891,1,24.0,567.0,65.0,christ8@hotmail.com,4
905,1,70.0,500.0,56.0,retha_yundt@gmail.com,4
908,1,19.0,344.0,59.0,clemmie.bergstrom@yahoo.com,4
917,1,60.0,661.0,49.0,karelle.brekke23@yahoo.com,4
976,1,29.0,500.0,88.0,maryam_ankunding@yahoo.com,4
1003,1,35.0,345.0,90.0,christine.botsford30@hotmail.com,4
1018,1,59.0,450.0,83.0,bradley22@hotmail.com,4
1022,1,30.0,777.0,72.0,maryam.harvey@yahoo.com,4
1058,1,69.0,450.0,46.0,kamren25@yahoo.com,4
1078,1,40.0,456.0,48.0,erling_dare44@hotmail.com,4
1087,1,19.0,678.0,58.0,therese.willms@yahoo.com,4
1108,1,56.0,670.0,46.0,jerrod_schimmel99@gmail.com,4
1144,1,39.0,780.0,88.0,noel_wilkinson@hotmail.com,4
1156,1,32.0,666.0,63.0,phyllis.sawayn@hotmail.com,4
1206,1,27.0,678.0,47.0,astrid_jaskolski@yahoo.com,4
1221,1,67.0,444.0,52.0,ferne_lueilwitz21@hotmail.com,4
1239,1,57.0,345.0,51.0,jedidiah.cartwright12@gmail.com,4
1250,1,18.0,666.0,41.0,shania.conn@hotmail.com,4
1273,1,40.0,435.0,31.0,celestino.botsford81@gmail.com,4
1287,1,50.0,670.0,55.0,otto_bosco@gmail.com,4
1296,1,47.0,660.0,41.0,brandyn_mraz56@hotmail.com,4
1300,1,53.0,666.0,46.0,dayne.schuppe62@hotmail.com,4
1305,1,63.0,450.0,51.0,shawna_cremin56@yahoo.com,4
1314,1,60.0,500.0,56.0,milo_shields97@gmail.com,4
1332,1,18.0,560.0,41.0,ervin64@gmail.com,4
1341,1,23.0,790.0,41.0,aaliyah29@gmail.com,4
1369,1,38.0,789.0,75.0,michael10@hotmail.com,4
1373,1,35.0,500.0,55.0,lafayette_ondricka15@yahoo.com,4
1397,1,36.0,777.0,27.0,horace.becker53@yahoo.com,4
1457,1,69.0,450.0,46.0,elliott46@yahoo.com,4
