,Gender,Age,Annual Income (k),Spending Score (1-100),Email,label
2,1,19.0,1200.0,66.0,vickyvineesh9@gmail.com,2
7,1,19.0,1000.0,73.0,thulasisoma402@gmail.com,2
89,1,19.0,900.0,46.0,roob.skyla@yahoo.com,2
113,1,19.0,1000.0,87.0,ressie.kub@yahoo.com,2
350,1,67.0,1000.0,52.0,cturcotte@yahoo.com,2
386,1,21.0,890.0,42.0,ureinger@yahoo.com,2
404,1,63.0,1200.0,43.0,aileen.kuhlman@hotmail.com,2
413,1,23.0,1234.0,77.0,lpfannerstill@jones.com,2
457,1,34.0,1030.0,23.0,dangelo.mueller@gmail.com,2
505,1,53.0,1200.0,46.0,hills.frederick@gmail.com,2
514,1,19.0,1409.0,59.0,sporer.august@batz.com,2
609,1,29.0,890.0,88.0,hauck.flo@bernhard.org,2
670,1,32.0,1234.0,47.0,lamar51@schmitt.info,2
711,1,65.0,1000.0,52.0,gabrielle.green@yahoo.com,2
726,1,23.0,1200.0,77.0,ddooley@yahoo.com,2
754,1,44.0,1300.0,95.0,jbahringer@hotmail.com,2
791,1,60.0,1111.0,66.0,cayla.collins@hotmail.com,2
828,1,65.0,1112.0,52.0,cade43@yahoo.com,2
831,1,19.0,900.0,46.0,kody.gusikowski0@hotmail.com,2
851,1,32.0,890.0,73.0,daisy_muller@yahoo.com,2
855,1,32.0,1000.0,87.0,angie_feeney80@yahoo.com,2
899,1,50.0,900.0,45.0,terrance43@hotmail.com,2
914,1,32.0,1234.0,47.0,jovani_skiles@gmail.com,2
954,1,65.0,1000.0,52.0,shanny79@hotmail.com,2
969,1,23.0,1200.0,77.0,alfonso.quigley23@hotmail.com,2
997,1,44.0,1300.0,95.0,albertha82@gmail.com,2
1050,1,31.0,1100.0,42.0,shanel_heidenreich61@yahoo.com,2
1062,1,19.0,1234.0,55.0,sabrina_denesik@yahoo.com,2
1063,1,67.0,1000.0,52.0,luisa.casper@hotmail.com,2
1099,1,21.0,890.0,42.0,andy_jerde@yahoo.com,2
1117,1,63.0,1200.0,43.0,chelsea47@hotmail.com,2
1122,1,38.0,1167.0,40.0,buford66@yahoo.com,2
1126,1,23.0,1234.0,77.0,modesta_daniel29@hotmail.com,2
1163,1,32.0,987.0,86.0,florencio_windler@gmail.com,2
1170,1,34.0,1030.0,23.0,virginie.harris63@yahoo.com,2
1218,1,53.0,1200.0,46.0,troy65@gmail.com,2
1227,1,19.0,1409.0,59.0,paul_feest@yahoo.com,2
1255,1,47.0,900.0,47.0,raymond_monahan28@hotmail.com,2
1266,1,35.0,999.0,98.0,lysanne91@yahoo.com,2
1359,1,51.0,999.0,43.0,ruth_rohan77@hotmail.com,2
1377,1,32.0,908.0,93.0,quentin_schumm46@gmail.com,2
1462,1,67.0,1000.0,52.0,mohammad98@gmail.com,2
1498,1,21.0,890.0,42.0,clair.macejkovic@gmail.com,2
1542,1,53.0,1200.0,46.0,maximillian.price16@yahoo.com,2
1551,1,19.0,1409.0,59.0,chase_turner95@hotmail.com,2
1581,1,19.0,1200.0,66.0,pkozey@yahoo.com,2
1586,1,19.0,1000.0,73.0,zemlak.bradly@yahoo.com,2
1671,1,19.0,900.0,46.0,wilkinson.murphy@hill.info,2
1695,1,19.0,1000.0,87.0,cernser@gmail.com,2
1933,1,67.0,1000.0,52.0,fbeier@schumm.com,2
1969,1,21.0,890.0,42.0,albert69@anderson.biz,2
1987,1,63.0,1200.0,43.0,rswift@gmail.com,2
1996,1,23.0,1234.0,77.0,ujohnston@hartmann.com,2
2040,1,34.0,1030.0,23.0,roberts.sally@gmail.com,2
2088,1,53.0,1200.0,46.0,thiel.darron@hotmail.com,2
