,Gender,Age,Annual Income (k),Spending Score (1-100),Email,label
535,1,50.0,5670.0,46.0,olson.dorothy@wilderman.com,3
571,1,23.0,5678.0,77.0,lisandro.ernser@yahoo.com,3
1104,1,26.0,7890.0,55.0,eunice_romaguera@gmail.com,3
1248,1,50.0,5670.0,46.0,marcel.berge@gmail.com,3
1572,1,50.0,5670.0,46.0,willow66@hotmail.com,3
2118,1,50.0,5670.0,46.0,nyah04@flatley.com,3
2154,1,23.0,5678.0,77.0,rosenbaum.velva@collins.com,3
2685,1,26.0,7890.0,55.0,xgerlach@mills.com,3
2829,1,50.0,5670.0,46.0,jordane.hegmann@herman.biz,3
3152,1,50.0,5670.0,46.0,halvorson.ryder@purdy.biz,3
3701,1,50.0,5670.0,46.0,hagenes.melisa@gmail.com,3
3736,1,23.0,5678.0,77.0,harber.elouise@kovacek.com,3
4268,1,26.0,7890.0,55.0,joshua.wolf@kilback.com,3
4411,1,50.0,5670.0,46.0,nedra.feil@kovacek.org,3
4734,1,50.0,5670.0,46.0,ward.estel@volkman.com,3
5284,1,50.0,5670.0,46.0,tyundt@gmail.com,3
5320,1,23.0,5678.0,77.0,lwillms@schamberger.com,3
5852,1,26.0,7890.0,55.0,golden41@douglas.com,3
5996,1,50.0,5670.0,46.0,tremaine59@yahoo.com,3
6317,1,50.0,5670.0,46.0,iliana.dietrich@crona.com,3
6864,1,50.0,5670.0,46.0,bbeahan@hotmail.com,3
6900,1,23.0,5678.0,77.0,blanda.stewart@hotmail.com,3
7430,1,26.0,7890.0,55.0,dubuque.abe@kerluke.net,3
7574,1,50.0,5670.0,46.0,rconsidine@kovacek.com,3
7898,1,50.0,5670.0,46.0,elvera33@walsh.net,3
8449,1,50.0,5670.0,46.0,rutherford.parker@eichmann.info,3
8485,1,23.0,5678.0,77.0,wilfred34@jones.org,3
9014,1,26.0,7890.0,55.0,barry78@yahoo.com,3
9157,1,50.0,5670.0,46.0,mayer.estefania@stroman.com,3
9479,1,50.0,5670.0,46.0,zkuphal@dach.com,3
10026,1,50.0,5670.0,46.0,breana.mills@yahoo.com,3
10062,1,23.0,5678.0,77.0,schamberger.mohamed@yost.com,3
10593,1,26.0,7890.0,55.0,chad.veum@dietrich.org,3
10737,1,50.0,5670.0,46.0,alia.reichel@yahoo.com,3
11061,1,50.0,5670.0,46.0,khand@hotmail.com,3
11607,1,50.0,5670.0,46.0,jo.douglas@gmail.com,3
11643,1,23.0,5678.0,77.0,xokeefe@yahoo.com,3
12172,1,26.0,7890.0,55.0,lawson.macejkovic@kuhn.com,3
12316,1,50.0,5670.0,46.0,pwatsica@hotmail.com,3
12639,1,50.0,5670.0,46.0,nikki.pouros@armstrong.info,3
13187,1,50.0,5670.0,46.0,qchristiansen@reinger.com,3
13223,1,23.0,5678.0,77.0,kenyatta55@hoeger.com,3
13752,1,26.0,7890.0,55.0,luettgen.jakayla@yahoo.com,3
13895,1,50.0,5670.0,46.0,gaetano13@labadie.org,3
14210,1,50.0,5670.0,46.0,wuckert.mozelle@gmail.com,3
14758,1,50.0,5670.0,46.0,douglas.carter@kuvalis.com,3
14793,1,23.0,5678.0,77.0,estel12@gmail.com,3
15321,1,26.0,7890.0,55.0,bertha.hills@gmail.com,3
15463,1,50.0,5670.0,46.0,makenna89@williamson.com,3
15787,1,50.0,5670.0,46.0,ffunk@yahoo.com,3
