,Gender,Age,Annual Income (k),Spending Score (1-100),Email,label
0,1,19.0,61.0,76.0,rasikavhaval1999@gmail.com,0
1,1,19.0,21.0,35.0,kirandabeta@gmail.com,0
3,1,19.0,23.0,29.0,jagdishpatil9767@gmail.com,0
4,1,19.0,23.0,98.0,harshc466@gmail.com,0
5,1,19.0,24.0,35.0,sawanmulchandani@gmail.com,0
6,1,19.0,24.0,73.0,goyalyash629@gmail.com,0
8,1,19.0,28.0,50.0,pratikalase2000@gmail.com,0
9,1,19.0,28.0,61.0,akashchawla3103@gmail.com,0
10,1,19.0,61.0,31.0,clifton70@brown.com,0
11,1,19.0,222.0,87.0,patience30@bergstrom.biz,0
12,1,19.0,30.0,73.0,qgusikowski@gmail.com,0
13,1,19.0,33.0,92.0,alene.gottlieb@gmail.com,0
14,1,19.0,111.0,81.0,vraynor@yahoo.com,0
15,1,19.0,34.0,73.0,martin.windler@gulgowski.com,0
16,1,19.0,37.0,26.0,tad12@yahoo.com,0
17,1,19.0,37.0,75.0,kobe12@raynor.com,0
18,1,19.0,38.0,35.0,nbuckridge@windler.net,0
19,1,19.0,38.0,92.0,haley.murray@gmail.com,0
20,1,19.0,39.0,36.0,konopelski.newton@gmail.com,0
21,1,19.0,39.0,61.0,kunde.gavin@gmail.com,0
22,1,19.0,100.0,28.0,cecelia.dietrich@yahoo.com,0
23,1,19.0,39.0,65.0,shanelle27@yahoo.com,0
24,1,19.0,40.0,55.0,xhammes@gmail.com,0
25,1,19.0,123.0,47.0,lera.will@rowe.biz,0
26,1,19.0,40.0,42.0,mcglynn.caleb@yahoo.com,0
27,1,19.0,40.0,42.0,brakus.leslie@treutel.org,0
28,1,19.0,42.0,52.0,zack.zulauf@gmail.com,0
29,1,19.0,42.0,60.0,mack.morar@hotmail.com,0
30,1,19.0,43.0,60.0,jacinto.cummerata@wiza.biz,0
31,1,19.0,43.0,45.0,brown.pagac@gmail.com,0
32,1,19.0,43.0,41.0,darryl85@jerde.net,0
34,1,19.0,44.0,46.0,jcrooks@legros.org,0
35,1,19.0,46.0,51.0,jett.haley@jacobs.biz,0
36,1,19.0,46.0,46.0,greenfelder.reyes@frami.com,0
37,1,19.0,46.0,56.0,wgibson@reinger.com,0
38,1,19.0,46.0,55.0,pwitting@pouros.com,0
39,1,19.0,47.0,52.0,allie.witting@hotmail.com,0
40,1,19.0,47.0,59.0,moriah17@cronin.net,0
41,1,19.0,48.0,51.0,jairo88@yahoo.com,0
42,1,19.0,48.0,59.0,mweimann@king.biz,0
43,1,19.0,48.0,50.0,kconroy@yahoo.com,0
44,1,19.0,48.0,48.0,waelchi.connor@abernathy.info,0
45,1,19.0,48.0,59.0,harvey.prudence@tillman.org,0
46,1,19.0,48.0,47.0,avery78@renner.com,0
47,1,19.0,49.0,55.0,reece37@hand.com,0
48,1,19.0,49.0,42.0,hammes.marjory@hotmail.com,0
49,1,19.0,50.0,49.0,virginia.medhurst@shanahan.com,0
50,1,19.0,50.0,56.0,vada13@gleichner.com,0
51,1,19.0,54.0,47.0,pmarks@hauck.com,0
52,1,19.0,54.0,54.0,vcarter@hotmail.com,0
53,1,19.0,54.0,53.0,rice.leo@beer.com,0
54,1,19.0,222.0,48.0,malinda28@kiehn.com,0
55,1,19.0,54.0,52.0,davin.macejkovic@gmail.com,0
56,1,19.0,54.0,42.0,pgerhold@spencer.biz,0
57,1,19.0,54.0,51.0,kara.nolan@kerluke.com,0
58,1,19.0,54.0,55.0,grant.jessie@ebert.info,0
59,1,19.0,54.0,50.0,cframi@yahoo.com,0
60,1,19.0,54.0,44.0,carmela.konopelski@hotmail.com,0
61,1,19.0,54.0,57.0,mante.chloe@heaney.net,0
62,1,19.0,54.0,46.0,tom04@hotmail.com,0
63,1,19.0,57.0,58.0,effertz.verla@gmail.com,0
64,1,19.0,57.0,55.0,volkman.barney@funk.com,0
65,1,19.0,58.0,60.0,batz.rachael@pfeffer.com,0
67,1,19.0,59.0,55.0,gertrude.lang@gaylord.com,0
68,1,19.0,59.0,41.0,lrippin@yahoo.com,0
69,1,19.0,60.0,49.0,gquitzon@yahoo.com,0
70,1,19.0,61.0,40.0,lester71@gmail.com,0
71,1,19.0,60.0,42.0,idooley@wuckert.com,0
72,1,19.0,60.0,52.0,burdette.johnson@goldner.com,0
73,1,19.0,60.0,47.0,mbrekke@hettinger.net,0
74,1,19.0,60.0,50.0,malachi24@hotmail.com,0
75,1,19.0,61.0,42.0,okey.ortiz@yahoo.com,0
76,1,19.0,61.0,49.0,lucinda52@gmail.com,0
77,1,19.0,62.0,41.0,vonrueden.frederic@hermiston.org,0
78,1,19.0,62.0,48.0,metz.justine@yahoo.com,0
79,1,19.0,62.0,59.0,jackie.rau@jakubowski.net,0
80,1,19.0,62.0,55.0,dustin.schneider@yahoo.com,0
81,1,19.0,62.0,56.0,pagac.sammy@yahoo.com,0
82,1,19.0,62.0,42.0,hcronin@yahoo.com,0
83,1,19.0,63.0,50.0,emil.franecki@konopelski.com,0
84,1,19.0,63.0,46.0,nyasia21@hotmail.com,0
85,1,19.0,63.0,48.0,kbosco@larson.info,0
86,1,19.0,63.0,52.0,eliezer29@gmail.com,0
87,1,19.0,63.0,54.0,champlin.ruthie@little.com,0
88,1,19.0,64.0,42.0,bartoletti.keagan@hotmail.com,0
90,1,19.0,65.0,48.0,dorothy20@mitchell.com,0
91,1,19.0,65.0,50.0,royal.schmitt@heaney.com,0
92,1,19.0,65.0,43.0,desiree.kris@harber.com,0
93,1,19.0,65.0,59.0,austen.leffler@yahoo.com,0
94,1,19.0,67.0,43.0,thaddeus.bartell@kulas.com,0
95,1,19.0,67.0,57.0,koepp.owen@bashirian.com,0
96,1,19.0,67.0,56.0,michel.haag@yahoo.com,0
97,1,19.0,67.0,50.0,frolfson@gmail.com,0
98,1,19.0,69.0,58.0,frederic.welch@kuhlman.net,0
99,1,19.0,69.0,91.0,desiree.roberts@jacobi.com,0
100,1,19.0,70.0,29.0,tcrona@oberbrunner.com,0
101,1,19.0,70.0,77.0,green.juwan@wisoky.org,0
102,1,19.0,71.0,35.0,mlubowitz@osinski.com,0
103,1,19.0,71.0,95.0,schaefer.keira@renner.com,0
104,1,19.0,71.0,75.0,carleton.weimann@hotmail.com,0
105,1,19.0,71.0,75.0,heloise61@gmail.com,0
106,1,19.0,72.0,34.0,vonrueden.edythe@gmail.com,0
107,1,19.0,72.0,71.0,jessyca45@daugherty.com,0
108,1,19.0,73.0,88.0,isabell16@herman.com,0
109,1,19.0,73.0,73.0,wbraun@gmail.com,0
110,1,19.0,74.0,72.0,edenesik@toy.biz,0
111,1,19.0,61.0,93.0,franco.gottlieb@hotmail.com,0
112,1,19.0,76.0,40.0,kade.kuphal@white.net,0
114,1,19.0,77.0,97.0,reynolds.tressa@gmail.com,0
115,1,19.0,77.0,36.0,twest@hotmail.com,0
116,1,19.0,77.0,74.0,ratke.chanelle@gmail.com,0
117,1,19.0,78.0,22.0,aileen.koepp@cronin.com,0
118,1,19.0,78.0,90.0,emelie.hansen@hickle.net,0
119,1,19.0,78.0,88.0,lawrence.bartell@waelchi.net,0
120,1,19.0,78.0,76.0,dawn.stokes@leffler.com,0
121,1,19.0,78.0,89.0,emmalee.rohan@halvorson.com,0
122,1,19.0,78.0,78.0,lucius.murray@bauch.com,0
123,1,19.0,78.0,73.0,coby35@yahoo.com,0
124,1,19.0,79.0,35.0,donnell.kulas@yahoo.com,0
125,1,19.0,79.0,83.0,herman.trever@yahoo.com,0
